ts,side,usd_notional,cascade
2026-05-07 10:28:47.278,sell,80.17,0
2026-05-07 10:28:47.286,sell,801.68,0
2026-05-07 10:28:47.311,sell,40085.7,0
2026-05-07 10:28:47.509,sell,80.17,0
2026-05-07 10:28:51.618,sell,49458.41,0
2026-05-07 10:28:52.313,sell,1202.39,0
2026-05-07 10:28:55.135,sell,561.08,0
2026-05-07 10:28:55.229,sell,240.46,0
2026-05-07 10:28:58.374,sell,26450.19,0
2026-05-07 10:29:10.982,sell,721.28,0
2026-05-07 10:29:11.324,sell,9937.58,0
2026-05-07 10:57:03.484,buy,162.43,0
2026-05-07 11:05:24.137,buy,81.39,0
2026-05-07 11:06:17.340,buy,651.24,0
2026-05-07 11:18:27.904,sell,80.5,0
2026-05-07 11:43:35.478,buy,976.18,0
2026-05-07 11:55:05.502,buy,162.24,0
2026-05-07 11:58:29.702,buy,162.45,0
2026-05-07 12:03:29.994,buy,487.76,0
2026-05-07 12:05:28.602,buy,9596.9,0
2026-05-07 12:05:35.524,buy,1951.98,0
2026-05-07 12:12:30.438,buy,2279.86,0
2026-05-07 12:13:23.890,buy,81.46,0
2026-05-07 12:13:24.412,buy,488.79,0
2026-05-07 12:15:19.112,buy,733.33,0
2026-05-07 12:19:10.518,buy,81.35,0
2026-05-07 12:28:09.167,sell,2821.13,0
2026-05-07 13:32:18.603,sell,482.1,0
2026-05-07 13:36:52.492,sell,160.56,0
2026-05-07 13:38:10.720,sell,240.82,0
2026-05-07 13:38:12.263,sell,159341.51,0
2026-05-07 13:38:12.719,sell,1284.27,0
2026-05-07 13:38:13.881,sell,160.53,0
2026-05-07 13:38:29.512,sell,321.04,0
2026-05-07 13:38:29.827,sell,642.03,0
2026-05-07 13:38:36.762,sell,1283.9,0
2026-05-07 13:38:37.714,sell,320.95,0
2026-05-07 13:38:37.946,sell,481.4,0
2026-05-07 13:40:10.121,sell,38823.87,0
2026-05-07 13:41:06.729,sell,6737.62,0
2026-05-07 13:41:06.990,sell,481.24,0
2026-05-07 13:41:07.194,sell,320.84,0
2026-05-07 13:41:08.383,sell,4090.24,0
2026-05-07 13:41:26.460,sell,3528.76,0
2026-05-07 13:41:41.065,sell,8419.95,0
2026-05-07 13:44:37.655,sell,8818.93,0
2026-05-07 13:44:37.661,sell,8017.62,0
